Price,Total_Room,Bathroom_Count,Net_M2,Number_of_Floors,Floor,Furnished_Status,Is_New_Building,Is_Occupied,Is_Swap_Available,In_a_Complex,Loan_Eligibility,KonutTipi_Bina,KonutTipi_Daire,KonutTipi_Kooperatif,KonutTipi_Mustakil,KonutTipi_Yali,Age_0,Age_1-5,Age_6-10,Age_11-20,Age_21-30,Age_31-40,Age_41-50,Age_51-70,Heating_Diger-Belirsiz,Heating_Kombi-Bireysel Doğalgaz,Heating_Merkezi Sistem,Heating_Soba-Geleneksel,Heating_Yerden Isıtma-Modern,Tapu_Diger/Riskli,Tapu_Hisseli Mülkiyet,Tapu_Kat İrtifakı,Tapu_Tam Mülkiyet,Building_Type_Encoded,Ground_Risk,District,Neighborhood,District_Encoded,Neighborhood_Encoded,Price_Per_Sqrft
6950000,4,1.0,95,10,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.33684210526315794,Ataşehir,Ataşehir_İçerenköy Mah.,10180590.0,6736411.764705882,73157.8947368421
7950000,2,1.0,40,6,1.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.42105263157894735,Kadıköy,Kadıköy_Suadiye Mah.,20895221.034755133,24216500.0,198750.0
14950000,5,2.0,211,7,3.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.9052631578947369,Büyükçekmece,Büyükçekmece_Pınartepe Mah.,7694572.519083969,6787500.0,70853.08056872038
23000000,3,2.0,115,24,9.0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.26315789473684215,Beşiktaş,Beşiktaş_Gayrettepe Mah.,30103283.898305085,17203333.333333332,200000.0
7000000,3,1.0,90,14,7.0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.9473684210526316,Bağcılar,Bağcılar_Kirazlı Mah.,6106398.058252427,5225000.0,77777.77777777778
16750000,4,1.0,90,8,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.42105263157894735,Kadıköy,Kadıköy_Erenköy Mah.,20764465.8126935,23110074.34408602,186111.11111111112
3999000,4,1.0,108,4,3.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7894736842105263,Başakşehir,Başakşehir_Bahçeşehir 2. Kısım Mah.,11164528.72413793,9671096.774193548,37027.77777777778
3050000,4,1.0,125,6,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.9473684210526316,Bahçelievler,Bahçelievler_Cumhuriyet Mah.,7773992.75,5231875.0,24400.0
5500000,8,2.0,140,4,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.42105263157894735,Pendik,Pendik_Esenler Mah.,7396266.272189349,5055000.0,39285.71428571428
10800000,7,3.0,170,3,3.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.3157894736842105,Ümraniye,Ümraniye_Çakmak Mah.,7815174.603174604,5270454.545454546,63529.41176470588
3125000,2,1.0,43,6,1.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.368421052631579,Tuzla,Tuzla_İstasyon Mah.,11398469.387755102,8425000.0,72674.41860465116
15500000,4,2.0,157,5,1.0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.4736842105263158,Sarıyer,Sarıyer_Zekeriyaköy Mah.,33869898.26356589,28493333.333333332,98726.11464968153
2030000,2,1.0,50,3,1.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.8947368421052632,Esenler,Esenler_Tuna Mah.,4338050.0,5112500.0,40600.0
5500000,3,1.0,90,4,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.3157894736842105,Şişli,Şişli_Fulya Mah.,10999629.367132867,8755000.0,61111.11111111111
